rank_type,dep_var,cycle,size_decile,beta_ind_own,se_ind_own,t_ind_own,p_ind_own,stars,ci95_lo,ci95_hi,nobs,entities,time_periods,score
global_top15,price_info,exp_2009Q3_2019Q3,4,-18.053666681440077,1.9968678436462084,-9.040992241366727,0.0,***,-21.967527654986647,-14.139805707893508,6966,1270,41,80.00319783938703
global_top15,price_info,exp_2009Q3_2019Q3,5,-8.9451774635575,1.1353710517259834,-7.878637957132253,3.774758283725532e-15,***,-11.170504724940427,-6.719850202174571,9388,1618,41,72.06821826698977
global_top15,price_info,exp_2020Q3_2023Q4,5,-11.08549478031045,1.4486463580507596,-7.652312601142108,3.019806626980426e-14,***,-13.924841642089937,-8.246147918530962,2982,911,14,61.22374099430814
global_top15,price_info,exp_1993Q1_2000Q4,2,-19.052588334539838,1.7279738998008576,-11.02596997369901,0.0,***,-22.43941717814952,-15.665759490930157,153,69,8,55.53728815315776
global_top15,price_info,exp_2009Q3_2019Q3,7,-4.011338277748175,0.731905436001818,-5.4806783505543075,4.323879698731048e-08,***,-5.4458729323117385,-2.5768036231846114,13908,2044,41,52.28726848796083
global_top15,price_info,exp_2009Q3_2019Q3,3,-18.513775397711715,2.9543925132506454,-6.266525288930367,4.3647663261481284e-10,***,-24.30438472368298,-12.723166071740451,3148,712,41,50.47585994382304
global_top15,price_info,exp_2002Q1_2007Q3,9,-16.398931112857433,2.917327925387504,-5.621216240433165,1.977628349969507e-08,***,-22.11689384661694,-10.680968379097925,7182,872,23,49.91343447302096
global_top15,price_info,exp_2002Q1_2007Q3,8,-14.58532521142228,2.70908773650094,-5.383851181675164,7.530238765873776e-08,***,-19.895137174964123,-9.275513247880436,8152,1201,23,48.48772413934103
global_top15,price_info,exp_2009Q3_2019Q3,6,-4.10607791271909,0.803679891240616,-5.1090962427598665,3.302082054457145e-07,***,-5.6812904995506965,-2.5308653258874823,11176,1942,41,47.62501986753365
global_top15,price_info,exp_2009Q3_2019Q3,8,-3.0246723974822194,0.6341574569908793,-4.769592100729207,1.862923944440098e-06,***,-4.267621013184343,-1.781723781780096,17498,2073,41,46.59843316887762
global_top15,price_info,exp_2009Q3_2019Q3,9,-2.091289218739091,0.6218156880261831,-3.363197904152962,0.0007719382623889715,***,-3.31004796727041,-0.8725304702077721,21355,1874,41,33.52801590027066
global_top15,price_info,exp_2002Q1_2007Q3,10,-14.035970133381449,3.763804854014456,-3.729197096499504,0.00019360475341101413,***,-21.413027647249784,-6.658912619513115,7608,567,23,33.32815902647285
global_top15,amihud_illiq,exp_2002Q1_2007Q3,7,0.03476460986310756,0.009710615798090936,3.5800623344548477,0.0003458347789269123,***,0.015731802898849324,0.053797416827365795,8443,1403,23,32.36810042309054
global_top15,volatility,rec_2001Q1_2001Q4,7,-1.88112059771018,0.42202109569379537,-4.457408923166863,1.0323339185935865e-05,***,-2.708281945270019,-1.053959250150341,901,412,4,30.33094948043794
global_top15,price_info,exp_2020Q3_2023Q4,4,-11.740110461506147,3.1138324731756155,-3.7703089561311867,0.00016851986883614778,***,-17.84322210893035,-5.636998814081941,2449,702,14,29.42290029957662
dep_top5,amihud_illiq,exp_2002Q1_2007Q3,7,0.03476460986310756,0.009710615798090936,3.5800623344548477,0.0003458347789269123,***,0.015731802898849324,0.053797416827365795,8443,1403,23,32.36810042309054
dep_top5,amihud_illiq,exp_2002Q1_2007Q3,10,-0.0015020868061796926,0.0005287044726182257,-2.8410707379514464,0.004509182108018983,***,-0.002538347572511415,-0.0004658260398479703,7613,567,23,25.39276276255013
dep_top5,amihud_illiq,exp_2020Q3_2023Q4,8,-0.007663862593046198,0.0028239092250656552,-2.7139195994757994,0.006669399438462786,***,-0.013198724674174881,-0.0021290005119175134,7190,1522,14,24.101195105968905
dep_top5,amihud_illiq,exp_2020Q3_2023Q4,7,-0.011484665636063852,0.00410931013836318,-2.7947916436987215,0.005218787693751059,***,-0.019538913507255687,-0.0034304177648720197,5240,1337,14,23.935343519532008
dep_top5,amihud_illiq,exp_2002Q1_2007Q3,2,-6.088204344156857,1.6092956157032043,-3.783148530791548,0.00017916322042199617,***,-9.242423750935137,-2.9339849373785767,558,143,23,23.932763084934436
